,source,sourceConceptType,target,targetConceptType,semantics,edge,id
0,I,entity,Chris,entity,"The pronoun 'I' refers to the speaker who is expressing their thoughts and feelings towards 'Chris', indicating a personal and emotional connection between the two.",Expresses feelings towards,fb5efa2d-fb46-4b45-9245-5eed6dd22e48
1,I,entity,to think,event,"The verb 'thinking' is an action performed by the speaker, indicating their contemplation and reflection on their emotions towards 'Chris'.",Reflects on,d9b1ee7d-92d8-464f-a9dd-b24285bc548b
2,I,entity,you,entity,"The pronoun 'you' refers to 'Chris', indicating the direct address of the speaker towards Chris and highlighting the personal nature of their message.",Directly addresses,bcb5220e-9fc3-49aa-b697-0e0c98303345
3,to think,event,Chris,entity,"The act of 'thinking' is directed towards 'Chris', emphasizing the focus of the speaker's thoughts on him and the importance of their relationship.",Focuses thoughts on,4157e093-92ea-4815-84f0-c7a7771722d4
4,to think,event,meaning,abstract concept,"The thought process involves contemplating 'how much you mean to me' from an emotional perspective, indicating the depth of feelings involved in the speaker's reflections.",Contemplates emotional significance of,2dab5aa5-45a7-49ca-b189-51588db9757c
5,meaning,abstract concept,you,entity,"The significance of 'you' to the speaker is expressed through the concept of 'how much you mean to me', highlighting the emotional value attributed to Chris by the speaker.",Expresses emotional value towards,0af6f375-0ce1-442b-8157-c8148e524a91
6,I,entity,remember,event,"The pronoun 'I' refers to the speaker who is recalling a past event, indicating personal memory and reflection.",Recalls,ce84d03e-0e0a-42b1-b8da-c011acda0f77
7,remember,event,fall in love,event,"The act of 'remembering' is associated with the event of 'falling in love', highlighting a significant and memorable experience in the speaker's past.",Associated with,8c6efc15-fd18-4a87-b591-8d4ab8bfb118
8,fall in love,event,you,entity,"The event of 'falling in love' is directed towards 'you', indicating the target of the speaker's romantic feelings and emotions.",Directed towards,f9ea44b8-2c3d-4a39-a183-67c63288a000
9,fall in love,event,last night,event,"The event of 'falling in love' is compared to 'last night', suggesting a recent or vivid memory associated with the emotional experience.",Compares to,3b708636-989b-4389-96f9-556a62e76204
10,I,entity,you,entity,"The pronoun 'I' refers to the speaker who is reflecting on their experience of being beside 'you', indicating a personal connection between the two individuals.",Reflects on experience with,29e8d50c-43e7-49ec-8d55-413c885655d2
11,you,entity,beside,event,"The preposition 'beside' indicates the spatial relationship between 'you' and the speaker, highlighting their physical proximity in the context described.",Describes spatial relationship with,e2980baa-cd1d-429f-ae37-3a48d24614b0
12,you,entity,apartment,entity,"The noun 'apartment' refers to the location where the speaker and 'you' were lying naked, suggesting a specific setting for the shared experience.",Shares location with,90a04465-4d60-487a-b430-4060c421a842
13,apartment,entity,tiny,abstract concept,"The adjective 'tiny' describes the size of the apartment, implying that it is small in dimensions.",Describes size of,bae0bb10-4562-49ee-9711-972de0519f22
14,I,entity,part of,event,"The phrase 'part of' indicates the speaker's realization of belonging to a larger whole, suggesting a sense of connection and belonging.",Realizes belonging to,12344266-248d-4873-b653-d7ab9b18d4af
15,I,entity,whole larger thing,abstract concept,"The expression 'whole larger thing' conveys the idea of a broader context or system that the speaker perceives themselves to be a part of, possibly alluding to a familial or generational connection.",Perceives connection to,82df666f-f423-4741-94bc-09c6a14f518b
16,I,entity,you,entity,"The pronoun 'I' refers to the speaker who is reflecting on their experience of lying beside 'you', indicating a personal connection between the two individuals.",Reflects on experience with,33842073-b19b-455d-8b33-50af8f0689e4
17,you,entity,lying,event,"The action of 'lying' is associated with 'you', highlighting the physical proximity and intimacy shared in the described situation.",Involves in,3cc7e083-2a34-4dd3-950d-eaf0056dc978
18,you,entity,apartment,entity,"The location of 'that tiny apartment' is where 'you' and the speaker are situated, emphasizing the setting of the intimate moment.",Located in,a9c7582c-e3bc-42e4-b310-b740a63bb898
